"","trade_date","300131.SZ","300521.SZ","300662.SZ","600588.SH","603118.SH"
"107",2022-06-16,4.95,11.04,52.95,20.17,7.05
"108",2022-06-17,4.99,10.93,51.01,20.19,7.09
"109",2022-06-20,5.04,11.16,52,20.38,7.1
"110",2022-06-21,5.13,11.25,52.1,20.19,7.11
"111",2022-06-22,5.05,11.06,49.4,19.46,6.96
"112",2022-06-23,5.27,11.29,49.62,19.96,7.09
"113",2022-06-24,5.19,11.3,49.3,20.14,7.2
"114",2022-06-27,5.11,11.22,50.16,20.35,7.37
"115",2022-06-28,5.38,11.72,50.6,20.25,7.51
"116",2022-06-29,5.25,11.3,51.53,22.28,7.43
"117",2022-06-30,5.24,11.23,51.89,21.71,7.42
