id,favorite_count,favorited,id,retweet_count,retweeted,id,favorite_count,favorited,id,retweet_count,retweeted,Clean_Text
1600150416355864576,0,False,1600150416355864576,0,False,1.5992298114902671e+18,0.0,False,1.5992298114902671e+18,1.0,True,rt itcnz meet itc graduate stacey live dream work disney pandemic hit find sh
1600148524791844865,0,False,1600148524791844865,0,False,1.59922880169472e+18,1.0,True,1.59922880169472e+18,1.0,True,meet itc graduate stacey live dream work disney pandemic hit find ne https t co numberyqznumberpkzub
1600147974411386880,0,False,1600147974411386880,2,True,1.599228398081278e+18,0.0,False,1.599228398081278e+18,21.0,True,rt kevinpynenumber love time boston college great experience enter transfer portal
1600147457144672256,0,False,1600147457144672256,13,True,1.599225817636434e+18,9.0,True,1.599225817636434e+18,0.0,False,hope accept new clinicalpsychology graduate supervisee fall number uc_eb_lab ucalgary https t co tbefhyknumbersm
1600147341096660992,0,False,1600147341096660992,0,False,1.5992254569178972e+18,0.0,False,1.5992254569178972e+18,1.0,True,rt qwickzzz high chance new player come converseesports match redbirds seri
1600147005128511489,5,True,1600147005128511489,0,False,1.5992240501605294e+18,7.0,True,1.5992240501605294e+18,0.0,False,try challenge stretch new way graduate school early academic year https t co zszgnumbermnumbervk
1600145704781254658,0,False,1600145704781254658,13,True,1.5992229214108017e+18,3.0,True,1.5992229214108017e+18,0.0,False,stuff deal work center tell ai work shit go to b https t co zcgjlbbsnumberg
1600145210591223808,0,False,1600145210591223808,7,True,1.5992215245230285e+18,0.0,False,1.5992215245230285e+18,21.0,True,rt thebailab new study lab publish pnas today graduate student ting find fatty acid synthase fasn activate
1600145192001994752,0,False,1600145192001994752,56,True,1.5992165285864407e+18,0.0,False,1.5992165285864407e+18,1.0,True,rt ufdcp inspire scandinavian interior design style minimal furniture wooden tone number uf interior design graduate jessi
1600144364486828032,0,False,1600144364486828032,1,True,1.5992127300028662e+18,0.0,False,1.5992127300028662e+18,15.0,True,rt tedchris number number feel like world change writer editor designer coder artist suspect countless
1600142318765748225,0,False,1600142318765748225,0,False,1.5992122150216827e+18,0.0,False,1.5992122150216827e+18,11.0,True,rt oliverjianumber favorite new insult tankie leave 😂 move country
1600142190717460480,0,False,1600142190717460480,0,False,1.5992097769653576e+18,0.0,False,1.5992097769653576e+18,193.0,True,rt dtrmasterson new research note uc phd pay map basic cost live severe financial hardship uc phd st
1600141773174583296,1,True,1600141773174583296,0,False,1.5992083957265326e+18,0.0,False,1.5992083957265326e+18,16.0,True,rt aaptelangana proud youth leader amp founder volunteer vijaymallangi masters graduate columbia university amp project ma
1600140975627653120,0,False,1600140975627653120,30,True,1.599201147792728e+18,0.0,False,1.599201147792728e+18,82.0,True,rt gchahal breaking bnnpakistan reports accord report mbbs graduate hafiz mohammad waleed malik set new world record
1600139998849773568,0,False,1600139998849773568,7,True,1.5992010807848468e+18,0.0,False,1.5992010807848468e+18,15.0,True,rt tedchris number number feel like world change writer editor designer coder artist suspect countless
1600139489694785536,1,True,1600139489694785536,0,False,1.5991999577847235e+18,0.0,False,1.5991999577847235e+18,1.0,True,rt zacschultznumber welcome new year graduate student lindsey nishadi renee theschultzlab happy join
1600138094736338945,0,False,1600138094736338945,7,True,1.5991970876812902e+18,0.0,False,1.5991970876812902e+18,0.0,False,differentiate support need student help graduate grow communit https t co stojvywciz
1600137583509401600,1,True,1600137583509401600,0,False,1.5991948512531866e+18,0.0,False,1.5991948512531866e+18,15.0,True,rt tedchris number number feel like world change writer editor designer coder artist suspect countless
1600137461002166272,0,False,1600137461002166272,56,True,1.5991947197495624e+18,0.0,False,1.5991947197495624e+18,193.0,True,rt dtrmasterson new research note uc phd pay map basic cost live severe financial hardship uc phd st
1600137115001495552,1,True,1600137115001495552,0,False,1.5991946292993843e+18,1.0,True,1.5991946292993843e+18,0.0,False,greenfenrir christmas party yey reserve new hire din graduate na ako dyan
1600135888914513921,0,False,1600135888914513921,0,False,1.5991915164879176e+18,0.0,False,1.5991915164879176e+18,0.0,False,phase truly graduate grow abundance success uncover new money block
1600135472356925440,2,True,1600135472356925440,0,False,1.5991907273886966e+18,4.0,True,1.5991907273886966e+18,0.0,False,paul_kinlan remember number year ago say need tiktok account new generation go to graduate dev https t co xgadmxdfnumberm
1600135085407186944,0,False,1600135085407186944,36,True,1.5991888694500598e+18,0.0,False,1.5991888694500598e+18,0.0,False,new zealand bloodstock ready run sale graduate flash feeling bounce disappointing effort mo https t co xhenumberzpndd
1600131617775026176,2,True,1600131617775026176,0,False,1.5991887002393436e+18,15.0,True,1.5991887002393436e+18,0.0,False,stephen flynn history amp politic graduate real world experience tout new snp westminster https t co smpuwgfnumberkx
1600130395286040576,0,False,1600130395286040576,0,False,1.5991886505664963e+18,0.0,False,1.5991886505664963e+18,0.0,False,goal transform relationship money create feeling calm https t co hbunumberkjocf
1600129125879975938,0,False,1600129125879975938,0,False,1.5991882104242913e+18,0.0,False,1.5991882104242913e+18,15.0,True,rt tedchris number number feel like world change writer editor designer coder artist suspect countless
1600128171206123521,0,False,1600128171206123521,0,False,1.599185465621762e+18,0.0,False,1.599185465621762e+18,5.0,True,rt agristok 📌 master phd graduate assistantships applied forest ecology state university new york united states 🇺 🇸
1600127932550500352,0,False,1600127932550500352,0,False,1.599185357404541e+18,0.0,False,1.599185357404541e+18,15.0,True,rt tedchris number number feel like world change writer editor designer coder artist suspect countless
1600125858269712384,0,False,1600125858269712384,1,True,1.5991851226154025e+18,0.0,False,1.5991851226154025e+18,82.0,True,rt gchahal breaking bnnpakistan reports accord report mbbs graduate hafiz mohammad waleed malik set new world record
1600125733510447104,0,False,1600125733510447104,30,True,1.5991848949363753e+18,4.0,True,1.5991848949363753e+18,0.0,False,order undergrad transcript graduate school change number get ba zero paper https t co penumberanumberqnumbernnumbern
1600125308430036993,0,False,1600125308430036993,1,True,1.599183831105704e+18,0.0,False,1.599183831105704e+18,1.0,True,rt lawnews_latest bppgroup accessnumberlaw pleased announce new initiative extend support learner enter lega
1600124251884789760,1,True,1600124251884789760,0,False,1.599182675583316e+18,0.0,False,1.599182675583316e+18,59.0,True,rt prageru new great way gauge society examine tolerate watch streitmarissa interview zubymusic ht
1600123811734511616,0,False,1600123811734511616,56,True,1.599179963311485e+18,0.0,False,1.599179963311485e+18,193.0,True,rt dtrmasterson new research note uc phd pay map basic cost live severe financial hardship uc phd st
1600122386120331265,0,False,1600122386120331265,0,False,1.5991796078651638e+18,0.0,False,1.5991796078651638e+18,193.0,True,rt dtrmasterson new research note uc phd pay map basic cost live severe financial hardship uc phd st
1600121804965629952,0,False,1600121804965629952,56,True,1.5991770311109714e+18,0.0,False,1.5991770311109714e+18,0.0,False,click link bio currently open nursing job like registered nurse rn new graduate metro phoenix https t co fcomhvqodj
1600120682255245315,23,True,1600120682255245315,0,False,1.5991767507218022e+18,1.0,True,1.5991767507218022e+18,0.0,False,plaque commission thomas shieh chaminade_univ graduate honor lope number number team par https t co eczowmpzad
1600119040420507648,0,False,1600119040420507648,3,True,1.5991756704916685e+18,0.0,False,1.5991756704916685e+18,3.0,True,rt afresearchlab afrl look graduate level researcher participate new fully fund internship opportunity graduate
1600118053680791552,0,False,1600118053680791552,0,False,1.5991730338095718e+18,0.0,False,1.5991730338095718e+18,15.0,True,rt tedchris number number feel like world change writer editor designer coder artist suspect countless
