id,favorite_count,favorited,id,retweet_count,retweeted,Clean_Text
1600166363456507904,0,False,1600166363456507904,1,True,rt scjchurch_en new york feature zion christian mission center break record high graduate world christian insti
1600166363347419136,0,False,1600166363347419136,0,False,rt arynewsofficial mbbs graduate set new world record win number gold medal read https t co nbnumberyasdvznumber arynew https t
1600166362420170762,0,False,1600166362420170762,19,True,rt tedchris number number feel like world change writer editor designer coder artist suspect countless
1600166362139480066,0,False,1600166362139480066,0,False,rt namyrmya wait go to announce new actor s beoncloudnewyearparty amp previously search number amp
1600166361803653131,0,False,1600166361803653131,38,True,rt concepttvnew mbbs graduate hafiz muhammad waleed malik ameeruddin medical college lahore set new record win number gold
1600166361128325120,0,False,1600166361128325120,0,False,rt iamsaharagroup world class learning development programme cut entire energy value chain brand new automo
1600166360788586507,0,False,1600166360788586507,0,False,rt arynewsofficial mbbs graduate set new world record win number gold medal read https t co nbnumberyasdvznumber arynew https t
1600166360738254856,0,False,1600166360738254856,37,True,wait go to announce new actor s beoncloudnewyearparty amp previously search number amp https t co lrmhgldmkg
1600166360520151056,0,False,1600166360520151056,4,True,rt dtrmasterson new research note uc phd pay map basic cost live severe financial hardship uc phd st
1600166360143007744,0,False,1600166360143007744,28,True,rt gchahal breaking bnnpakistan reports accord report mbbs graduate hafiz mohammad waleed malik set new world record
1600166360100720640,0,False,1600166360100720640,145,True,rt dtrmasterson new research note uc phd pay map basic cost live severe financial hardship uc phd st
1600166359522226176,0,False,1600166359522226176,0,False,rt hamoudakkmal let know engunimelb available new phd student area tweet contact directly graduate
1600166359400271880,0,False,1600166359400271880,6798,True,meet pieter lamb rmit entrepreneurship graduate commit sustainability rmit lamb create new https t co anxnumberqpaanumber
1600166359148941313,0,False,1600166359148941313,0,False,rt arynewsofficial mbbs graduate set new world record win number gold medal read https t co nbnumberyasdvznumber arynew https t
1600166358687182848,0,False,1600166358687182848,3,True,rt tedchris number number feel like world change writer editor designer coder artist suspect countless
1600166358611742728,0,False,1600166358611742728,140,True,alexyqr unfortunately know situation comms officer post th https t co snumberpknumbercinez
1600166358490222595,0,False,1600166358490222595,116,True,rt kholosimp krnumbernfaumei wait future vshojojp go to like swear be go to debut new member
1600166358452359178,0,False,1600166358452359178,0,False,rt tedchris number number feel like world change writer editor designer coder artist suspect countless
