id,retweet_count,retweeted,Clean_Text
1570097774930132992,1060,True,rt nickiminaj let hope ppl guy r dirty work love hire notch lawyer amp pay
1570097774355709954,0,False,ciaoszn charity work ☺ ️ ☺ ️ ☺ ️
1570097773839630337,53,True,rt marii_chaudhry congratulations team wepatriotfamily team hard work currently trend number
1570097773697015808,179,True,rt fact not wish work
1570097773672042498,161,True,rt jeonmanwon seungcheol suspicious like puppeteer scene control dirty work
1570097773588119552,106,True,rt palmerreport number climb time number poll model give democrats number% chance keep
1570097773122551808,0,False,applaud cagovernor newsom effort 👏 caltrout look forward work closely agency partner https t co cpqanumberaknumberak
1570097773055287299,504,True,rt ausbassie pray tonight pray good take g
1570097772967374848,311,True,rt patryanuc hit ground run get work deliver nynumber meantime race run
1570097772883230720,1060,True,rt nickiminaj let hope ppl guy r dirty work love hire notch lawyer amp pay
1570097772698771461,0,False,futureio coinphq actually love know able work an(other illustrator motion pr https t co qynumberufajvnd
1570097772459597829,0,False,btsrremedy wdym terrific piece work 😟
1570097772312858624,3914,True,rt moonoutofbound idk lie y’ relationship work honeymoon phase trauma start everyon
1570097772266651649,0,False,muc_airport indian nation travel san francisco india munich layover number hrs https t co zbvburwttm
1570097771776208902,160,True,rt heyrebeccarose hoot hoot theowlhouse time spooky season wait crew b
1570097771616604160,0,False,treadmill break 🤢 omg 🤢 🤢 🤢 fitness center building https t co numbertjtfnumberykx
1570097771423862789,2,True,rt narutoxposts eye work naruto https t co nounumberhbooiu
1570097771344166915,7,True,rt labwiseman landerlab look postdoc work collaborative project experience membrane protein biology s
1570097770803113984,1,True,rt nickopiyo isaacssemakadde hon_nabuyanda drstellanyanzi institutionsnup degree tourism
1570097770706472961,36,True,rt usairforce number airnatlguard engineering installation squadrons country integrate unit refresh record
1570097770509336580,1060,True,rt nickiminaj let hope ppl guy r dirty work love hire notch lawyer amp pay
1570097770287235072,19560,True,rt puppsicle dark skin fit style hard draw poc black people look nice art wow cra
1570097769833963521,8950,True,rt allhailnu need rid number day work week life crazy work majority
1570097769825583107,0,False,notorious__grg sit work make fall playlist
1570097769750167554,2386,True,rt potus today look white house lawn see elect official government work american people
1570097769552953352,0,False,timely johnny work fancam https t co numberqjngvkaenumber
