id,retweet_count,retweeted,Clean_Text
1570097755078496259,0,False,terukanehater maybe try revise thing hour day focus thing struggle https t co mijcmvunumbere
1570097755057528832,8882,True,rt jonahfurman feel like people appreciate warren buffet friend shut supply chain fo
1570097754638282753,0,False,bobbybamber ollieholtnumber s spot nfl competitive league earth salary cap draft reven https t co zauylnumbermmyx
1570097754583728128,118,True,rt yongtinybear contestant say yongsun role model yongsun give good advice feedback bc ofc 🫂 expla
1570097754466287618,35,True,rt heuretrentesept work https t co wqdwynmqfh
1570097754356998145,88,True,rt amafinao bbnaija sheggz fc free device need help voting work free today
1570097753652428803,0,False,jauniuskanapka ksi loganpaul primehydrate uk website try shipping uk address work
1570097753392402433,3914,True,rt moonoutofbound idk lie y’ relationship work honeymoon phase trauma start everyon
1570097753354809350,3,True,rt lily_lorelei palomarro anumberhtnumberr hello paloma thank ashtar rt 💜 mashup video work
1570097753262284802,3914,True,rt moonoutofbound idk lie y’ relationship work honeymoon phase trauma start everyon
1570097753216417797,78,True,rt fieldyates chiefs k harrison butker ankle uncertain play thursday night give team assist week
1570097752914427904,8882,True,rt jonahfurman feel like people appreciate warren buffet friend shut supply chain fo
1570097752767631362,0,False,darden_dallas pin_eaglenumber smthingedgy delusionposting work expect rich educate b https t co numbergjcdnumbernqbnumber
1570097752666677251,0,False,pulte love help afford grocery week recover have covid rough https t co kgbnumberufewio
1570097752285278208,0,False,joebiden number number% unemployed look free ride long job fo https t co zrlttnumberknumbervb
1570097751878434816,19,True,rt naam_hi_kafi_h want work experience reject experience https t co wwhstdignumberi
1570097751777476610,2,True,rt bogsideandproud beltel forlouth say woman work closely moneillsf party storm year government
1570097751463018498,0,False,school pnumber number girl football club start afternoon ⚽ ️ great team work display girl https t co xdnumberiejhgns
1570097751458725889,1894,True,rt larryjunetfm sure put work everyday small
1570097751249293313,0,False,pulte work telemarketing rep time yell day call offering product s https t co jknxnumberzdyhp
1570097751043481600,0,False,elonmusk twitter verify paraga work company hypothetical engineer stick figure dr https t co ieslnefnumberbb
1570097750988972033,0,False,grow number highlight depth breadth work n https t co mvhqnnumberndhh
1570097750791839745,0,False,hell yeah work scott woz https t co gxyhezrynumberi
1570097750720786433,3,True,rt wardsnumber picomimi ziggynumber sandybootsnumber doubt able work hard successfully people princess
1570097750146174981,1,True,rt cryptnumberwarrnumberr craigsmithartnumber okinmakesart ruizilhao bruteforcew magusz_art beautiful work craig thank tag bro 🤜
1570097750045347846,6,True,rt bandaijack little surprise you vecho fights diamond edition work new character new stage new mechanic new co
1570097749802258432,4,True,rt sat_bhakti_yt श्राद्ध_करना_गलतहै 👉 ghost worship pitar worship worship god accord gita sh
