id,favorite_count,favorited,id,retweet_count,retweeted,Clean_Text
1599190727388696577,4,True,1599190727388696577,0,False,paul_kinlan remember number year ago say need tiktok account new generation go to graduate dev https t co xgadmxdfnumberm
1599188869450059776,0,False,1599188869450059776,0,False,new zealand bloodstock ready run sale graduate flash feeling bounce disappointing effort mo https t co xhenumberzpndd
1599188700239343616,15,True,1599188700239343616,0,False,stephen flynn history amp politic graduate real world experience tout new snp westminster https t co smpuwgfnumberkx
1599188650566496256,0,False,1599188650566496256,0,False,goal transform relationship money create feeling calm https t co hbunumberkjocf
1599188210424291328,0,False,1599188210424291328,15,True,rt tedchris number number feel like world change writer editor designer coder artist suspect countless
1599185465621762048,0,False,1599185465621762048,5,True,rt agristok 📌 master phd graduate assistantships applied forest ecology state university new york united states 🇺 🇸
1599185357404540928,0,False,1599185357404540928,15,True,rt tedchris number number feel like world change writer editor designer coder artist suspect countless
1599185122615402496,0,False,1599185122615402496,82,True,rt gchahal breaking bnnpakistan reports accord report mbbs graduate hafiz mohammad waleed malik set new world record
1599184894936375296,4,True,1599184894936375296,0,False,order undergrad transcript graduate school change number get ba zero paper https t co penumberanumberqnumbernnumbern
1599183831105703936,0,False,1599183831105703936,1,True,rt lawnews_latest bppgroup accessnumberlaw pleased announce new initiative extend support learner enter lega
1599182675583315968,0,False,1599182675583315968,59,True,rt prageru new great way gauge society examine tolerate watch streitmarissa interview zubymusic ht
1599179963311484928,0,False,1599179963311484928,193,True,rt dtrmasterson new research note uc phd pay map basic cost live severe financial hardship uc phd st
1599179607865163776,0,False,1599179607865163776,193,True,rt dtrmasterson new research note uc phd pay map basic cost live severe financial hardship uc phd st
1599177031110971392,0,False,1599177031110971392,0,False,click link bio currently open nursing job like registered nurse rn new graduate metro phoenix https t co fcomhvqodj
1599176750721802245,1,True,1599176750721802245,0,False,plaque commission thomas shieh chaminade_univ graduate honor lope number number team par https t co eczowmpzad
1599175670491668482,0,False,1599175670491668482,3,True,rt afresearchlab afrl look graduate level researcher participate new fully fund internship opportunity graduate
1599173033809571840,0,False,1599173033809571840,15,True,rt tedchris number number feel like world change writer editor designer coder artist suspect countless
1599172317031976960,0,False,1599172317031976960,12,True,rt iamsaharagroup world class learning development programme cut entire energy value chain brand new automo
1599172081262166016,0,False,1599172081262166016,15,True,rt tedchris number number feel like world change writer editor designer coder artist suspect countless
1599171704349085697,0,False,1599171704349085697,15,True,rt tedchris number number feel like world change writer editor designer coder artist suspect countless
1599171521276018693,0,False,1599171521276018693,0,False,want work highland hospital hire rochester ny click detail https t co qnumbermnumberhxucuq nursing
1599171405949517824,0,False,1599171405949517824,99,True,rt sylviewatikum number year permanent residency new zealand pathway need follow free
1599171175178829826,0,False,1599171175178829826,15,True,rt tedchris number number feel like world change writer editor designer coder artist suspect countless
1599170742037671936,0,False,1599170742037671936,15,True,rt tedchris number number feel like world change writer editor designer coder artist suspect countless
1599170399584940032,95,True,1599170399584940032,15,True,number number feel like world change writer editor designer coder artist suspect count https t co hlvaqrnumberbnumberg
1599168751491915776,0,False,1599168751491915776,160,True,rt donsennen check new brunswick community college postgraduate program affordable total annual tuition
1599168613763600390,0,False,1599168613763600390,3,True,rt strathgada join new year unistrathclydes graduate apprenticeship recruitment showcase business partner wil
1599168138351738880,0,False,1599168138351738880,0,False,daughter teacher tell advanced number year old agree teach bab https t co pjignumberynumbermui
1599167782184136706,0,False,1599167782184136706,12,True,rt iamsaharagroup world class learning development programme cut entire energy value chain brand new automo
1599167616584536064,3,True,1599167616584536064,0,False,new paper envscirsc super proud michelle bardales graduate emorycollege amp author https t co pnumberkyrwnumberfwe
1599167529506803716,1,True,1599167529506803716,0,False,intimate ceremony international graduate central queensland today https t co xhpjxnumbervotd leave https t co numberauhrerfxq
1599166990496587776,0,False,1599166990496587776,2,True,rt tgrfound support earl woods scholar program karina ramirez achieve childhood dream generation coll
1599164643380842497,0,False,1599164643380842497,12,True,rt iamsaharagroup world class learning development programme cut entire energy value chain brand new automo
1599161682500227074,6,True,1599161682500227074,3,True,afrl look graduate level researcher participate new fully fund internship opportunity gra https t co tnumberqxwerkbm
1599161093309362177,0,False,1599161093309362177,5,True,rt agristok 📌 master phd graduate assistantships applied forest ecology state university new york united states 🇺 🇸
1599158675653808128,0,False,1599158675653808128,13,True,rt profandysmith new fully fund phds mentalhealth movement coach playercare edgehill ehusportandpa oct number start proposals
1599158089399214081,0,False,1599158089399214081,12,True,rt iamsaharagroup world class learning development programme cut entire energy value chain brand new automo
1599157290598543360,12,True,1599157290598543360,2,True,late uc bargaining team new proposal include sacrifice graduate student campus https t co manumberknybieh
1599156958518738944,0,False,1599156958518738944,59,True,rt prageru new great way gauge society examine tolerate watch streitmarissa interview zubymusic ht
1599156884879323136,0,False,1599156884879323136,112,True,rt arynewsofficial mbbs graduate set new world record win number gold medal read https t co nbnumberyasdvznumber arynew https t
1599154712950894593,3,True,1599154712950894593,1,True,cfib seanfrasermp think post graduate work permit expire number cfib focused https t co ccnumberkynumberhxdk
1599154003476348928,0,False,1599154003476348928,59,True,rt prageru new great way gauge society examine tolerate watch streitmarissa interview zubymusic ht
